name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
Aaron Jones,RB,GB,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,213,1121,2,3,1,54,0,59,72,395,5,2,2,14,447,19,1,2.32033329829574,0.1266820714809,189.6,248.6,1516,17,0,65.94,23.24,14.62,89.18,0,5.26,6.69,272,5.57,0,0,0,0.009,0.085,7,0.026,33.87,5-9,208
Aaron Moorehead,WR,IND,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,101,0,1,0,0,0,4,0,0.250508127734065,0,10.1,17.1,101,3,0,0,33.67,5.7,33.67,0,0,14.43,7,14.43,0,0,0,0,0,0,0,33.87,0,0
Aaron Moorehead,WR,IND,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,0,0,0,0,0,1,0,0.111111111938953,0,0.7,1.7,7,1,0,0,7,1.7,7,0,0,7,1,7,0,0,0,0,0,0,0,33.87,0,0
Aaron Moorehead,WR,IND,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,75,0,0,0,0,0,3,0,0.29178886115551,0,7.5,14.5,75,2,0,0,37.5,7.25,37.5,0,0,10.71,7,10.71,0,0,0,0,0,0,0,33.87,0,0
Aaron Moorehead,WR,IND,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,82,1,0,0,72,10,5,0,0.318899501115084,0.383033894002438,14.2,22.2,82,4,0,0,20.5,5.55,20.5,0,0,10.25,8,10.25,0,0,0,0,0.125,1,0.125,33.87,0,0
Aaron Moorehead,WR,IND,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,65,0,0,0,59,6,4,0,0.359313730150461,0.371590392664075,6.5,14.5,65,4,0,0,16.25,3.62,16.25,0,0,8.12,8,8.12,0,0,0,0,0,0,0,33.87,0,0
Aaron Pierce,TE,BAL,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,99,0,1,1,0,0,4,0,0.523188393563032,0,7.9,17.9,99,8,0,0,12.38,2.24,12.38,0,0,9.9,10,9.9,0,0,0,0,0,0,0,33.87,0,0
Aaron Rodgers,QB,GB,2005,9,16,65,0,1,3,28,2,2,0,0,3,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7,-2.7,72,3,21.67,2.33,0,-0.9,24,4.06,3.5,0,18,4,0.562,0.062,0,0,0,0,0,60.12,6-2,223
Aaron Rodgers,QB,GB,2006,6,15,46,0,0,3,18,1,1,151,22,2,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.94,57,2,23,5.5,0,0.47,28.5,3.07,5.5,0,17,3.35,0.4,0,0,0,0,0,0,42.5,6-2,223
Aaron Rodgers,QB,GB,2007,20,28,218,1,0,3,24,0,0,162,133,9,0,7,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,15.62,247,2,109,14.5,0,7.81,123.5,7.79,4.14,0,35,7.06,0.714,0,0.036,0,0,1,0.029,100.33,6-2,223
Aaron Rodgers,QB,GB,2008,341,536,4038,28,13,34,231,6,3,4844,1526,182,2,56,207,4,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,290.22,290.22,4245,16,252.38,12.94,0,18.14,265.31,7.53,3.7,0,592,7.17,0.636,0.024,0.052,0.071,0,32,0.054,98.08,6-2,223
Aaron Rodgers,QB,GB,2009,350,541,4434,30,7,49,294,7,3,4984,2057,197,3,59,304,5,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,341.76,341.76,4738,16,277.12,19,0,21.36,296.12,8.2,5.15,0,600,7.9,0.647,0.013,0.055,0.085,0,35,0.058,102.79,6-2,223
Aaron Rodgers,QB,GB,2010,312,475,3922,28,11,31,193,2,0,4419,1775,183,0,64,356,4,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,304.48,304.48,4278,15,261.47,23.73,0,20.3,285.2,8.26,5.56,0,539,7.94,0.657,0.023,0.059,0.062,0,32,0.059,105.21,6-2,223
Aaron Rodgers,QB,GB,2011,343,502,4643,45,6,36,219,4,0,4554,2017,208,0,60,257,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,397.42,397.42,4900,15,309.53,17.13,0,26.49,326.67,9.25,4.28,0,562,8.72,0.683,0.012,0.09,0.05,0,48,0.085,121.83,6-2,223
Aaron Rodgers,QB,GB,2012,371,552,4295,39,8,51,293,5,4,4467,2044,211,1,54,259,2,0,0,20,0,1,1,-1,0,0,0,-6,5,0,0,0.0294117648154497,-0.0196078438311815,343.6,344.6,4553,16,268.44,16.19,-0.06,21.54,284.56,7.78,4.8,-1,607,7.5,0.672,0.014,0.071,0.037,0,41,0.068,108.46,6-2,223
